,epoch,loss,categorical_accuracy
0,1.0,0.8267242312431335,0.6440678238868713
1,2.0,0.7949284911155701,0.6685498952865601
2,3.0,0.6338961720466614,0.7401130199432373
3,4.0,0.5596405267715454,0.7865661978721619
4,5.0,0.5788105130195618,0.7997488975524902
5,6.0,0.5995262265205383,0.7978656888008118
6,7.0,1.248106837272644,0.6315128803253174
7,8.0,0.6199902296066284,0.8053986430168152
8,9.0,0.6296786665916443,0.7978656888008118
9,10.0,0.7382432222366333,0.7915881872177124
10,11.0,0.751767635345459,0.7834274768829346
11,12.0,0.845866858959198,0.7777777910232544
12,13.0,0.8075565099716187,0.7978656888008118
13,14.0,0.8432068228721619,0.7853107452392578
14,15.0,0.9510238766670227,0.7871939539909363
15,16.0,1.0084761381149292,0.7928436994552612
16,17.0,0.9899308681488037,0.7859385013580322
17,18.0,0.8754367232322693,0.7758945226669312
18,19.0,0.9496259093284607,0.7614563703536987
19,20.0,0.9323283433914185,0.784055233001709
20,21.0,0.8877570629119873,0.7871939539909363
21,22.0,1.0099948644638062,0.7815442681312561
22,23.0,1.0571656227111816,0.7758945226669312
23,24.0,1.0934175252914429,0.7721280455589294
24,25.0,1.070982575416565,0.7696170806884766
25,26.0,1.1588630676269531,0.7602008581161499
26,27.0,1.1907610893249512,0.7765222787857056
27,28.0,1.2020760774612427,0.7784055471420288
28,29.0,1.0893784761428833,0.7809165120124817
29,30.0,1.1088029146194458,0.770244836807251
